BATHRM,HF_BATHRM,HEAT,AC,BEDRM,AYB,EYB,PRICE,GBA,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,WARD,SALEYEAR,RMDL
2,0,Warm Cool,1,3,1923.0,1969,910000.0,1620.0,2 Story,Row Inside,Good Quality,4,Common Brick,Built Up,Hardwood,1,1,11,2405,Ward 1,2016.0,1
3,0,Forced Air,1,3,1936.0,1969,757000.0,1547.0,2 Story,Row Inside,Good Quality,4,Common Brick,Metal- Sms,Hardwood,1,2,11,2252,Ward 1,2011.0,1
2,1,Hot Water Rad,1,3,1936.0,1986,1100000.0,1387.0,2 Story,Row Inside,Good Quality,4,Common Brick,Slate,Hardwood,1,2,11,2186,Ward 1,2018.0,1
2,1,Hot Water Rad,1,4,1914.0,1986,917000.0,1726.0,2 Story,Row Inside,Good Quality,4,Common Brick,Built Up,Wood Floor,1,1,11,2207,Ward 1,2014.0,1
1,1,Hot Water Rad,0,3,1927.0,1950,725000.0,1722.0,2 Story,Row Inside,Good Quality,3,Common Brick,Comp Shingle,Wood Floor,1,1,11,2207,Ward 1,2018.0,0
3,1,Warm Cool,1,5,1916.0,1984,1150000.0,2400.0,2 Story,Row Inside,Very Good,4,Common Brick,Built Up,Hardwood,2,1,24,3550,Ward 1,2011.0,1
2,2,Warm Cool,1,3,1950.0,1960,365000.0,1296.0,2 Story,Semi-Detached,Average,3,Common Brick,Built Up,Hardwood,1,0,13,2284,Ward 4,2013.0,0
2,2,Forced Air,1,3,1950.0,1969,512500.0,1296.0,2 Story,Semi-Detached,Average,4,Common Brick,Built Up,Hardwood,1,0,13,2284,Ward 4,2016.0,1
2,2,Forced Air,1,3,1950.0,1969,429000.0,1296.0,2 Story,Semi-Detached,Average,4,Common Brick,Built Up,Hardwood,1,0,13,1752,Ward 4,2015.0,0
2,2,Hot Water Rad,1,3,1950.0,1971,625000.0,1616.0,2 Story,Single,Above Average,4,Common Brick,Comp Shingle,Hardwood,1,1,12,3900,Ward 4,2018.0,1
